model,RMSE_logprice,MAE_logprice,approx_%_err,dir_acc_%
rw,0.038189577812698196,0.029998145330985007,3.8928171940656675,56.07142857142857
sarima,0.03819042884242674,0.02952704064675089,3.8929056099793025,60.71428571428571
gb,0.028973487814140005,0.023205328360108197,2.9397302540739245,69.64285714285714
lstm,0.04298679156828502,0.03239186370447765,4.392410615927744,57.85714285714286
