key,label,n,mean_ret_%,share_positive_%,t_stat,p_value
1,Jan,58,2.4666719923718405,67.24137931034483,2.767681505430879,0.0076009446863621755
2,Feb,59,1.3404339819136508,54.23728813559322,2.3245505798808344,0.023618529644077343
3,Mar,59,-0.04490782947309855,52.54237288135594,-0.0681795556787204,0.9458772056987669
4,Apr,59,0.4478738828732432,45.76271186440678,0.9044790011790461,0.36948317172295714
5,May,59,0.6667922863162203,40.67796610169492,1.2499557927436336,0.21633577723115718
6,Jun,59,-0.04348641017184989,44.06779661016949,-0.06965965598075957,0.9447041729640475
7,Jul,58,0.05840439270462019,48.275862068965516,0.1114941468758937,0.9116161955581754
8,Aug,58,0.772372318845287,56.896551724137936,1.3784995237588684,0.1734357337157955
9,Sep,58,1.272204738945407,50.0,1.916114773424254,0.060370218367720246
10,Oct,58,0.9678401441748579,50.0,1.890666397924254,0.06375578675651511
11,Nov,58,-0.19881811261547042,46.55172413793103,-0.33751375896836366,0.7369694380744246
12,Dec,58,0.47099507863156154,50.0,0.8034057134737254,0.4250779610982571
