,P10,P25,P50,P75,P90,prob_below_today_%,median_CAGR_%
1,3542.682926829267,3929.0614709110855,4387.142857142857,5082.185216349781,5851.830727062439,38.24,5.714285714285716
2,3411.116525815183,3974.4336830785314,4769.636526601382,5834.400528726821,7238.729215728993,30.759999999999998,7.205877003547312
3,3366.807327689154,4108.864478584905,5197.390278109917,6645.073626660726,8537.198273398359,25.919999999999998,7.79015034399777
4,3409.6484862193297,4294.607806963528,5565.922202093805,7388.416368402792,9911.283133120394,22.42,7.614863396444016
5,3425.9714266457786,4467.104241779262,6043.41787464287,8393.120220448247,11580.369536797905,20.07,7.806986281036066
10,4014.3805652583474,5845.358646474415,9179.485095967237,14539.755100230377,22833.37607126594,11.04,8.262243443751327
