strategy,median,p10,p90,prob_loss_%
lump,1.3764637521527483,0.7469926969468527,2.913110777405569,29.773462783171524
dca12,1.3098510995095678,0.7576991662587611,2.59667171604478,27.993527508090615
dca24,1.2573832130180829,0.7727063225705603,2.4874192409522187,29.449838187702266
