key,label,n,mean_ret_%,share_positive_%,t_stat,p_value
1,Muharram,60,0.4368287103591621,41.66666666666667,0.7108111052775588,0.4800019033844078
2,Safar,57,1.1225629499241234,45.614035087719294,1.2417595805723398,0.21950107846268702
3,Rabi al-Awwal,59,0.49251436604446935,50.847457627118644,0.9273113695208348,0.35760779216457556
4,Rabi al-Thani,57,0.2844938503446947,47.368421052631575,0.4196782887864375,0.6763262314943222
5,Jumada al-Awwal,58,0.45100802934718237,44.827586206896555,0.737342784560251,0.4639384354537186
6,Jumada al-Thani,58,0.45235512894431396,55.172413793103445,0.8833105444426952,0.38077891677043024
7,Rajab,58,0.538366112364207,51.724137931034484,0.9889441000587044,0.32687007374971816
8,Shaban,60,-0.35831232169573735,40.0,-0.6485180605036156,0.5191661705864089
9,Ramadan,58,0.47543221055729057,56.896551724137936,0.8245790423296011,0.41304800719279805
10,Shawwal,57,1.082936737037658,52.63157894736842,1.9479327093812187,0.056442069368096044
11,Dhu al-Qadah,60,2.4819550649579867,63.33333333333333,4.00573924782161,0.0001755824089981132
12,Dhu al-Hijjah,59,0.6912696356384852,55.932203389830505,1.2614017839420528,0.21221397182369134
