Date,Price
1993-11,373.830
1993-12,383.000
1994-01,387.000
1994-02,382.000
1994-03,384.000
1994-04,377.000
1994-05,381.430
1994-06,386.000
1994-07,385.490
1994-08,380.000
1994-09,391.580
1994-10,390.000
1994-11,384.000
1994-12,379.000
1995-01,379.000
1995-02,377.000
1995-03,382.120
1995-04,391.000
1995-05,385.000
1995-06,387.560
1995-07,386.230
1995-08,384.000
1995-09,383.000
1995-10,383.000
1995-11,385.000
1995-12,387.000
1996-01,399.450
1996-02,405.000
1996-03,396.000
1996-04,392.850
1996-05,392.000
1996-06,385.000
1996-07,383.470
1996-08,387.000
1996-09,383.000
1996-10,381.000
1996-11,378.000
1996-12,369.000
1997-01,355.000
1997-02,347.000
1997-03,352.000
1997-04,344.000
1997-05,343.840
1997-06,341.000
1997-07,324.100
1997-08,324.010
1997-09,322.820
1997-10,325.000
1997-11,306.040
1997-12,288.740
1998-01,289.100
1998-02,297.490
1998-03,296.000
1998-04,308.290
1998-05,299.100
1998-06,292.320
1998-07,292.870
1998-08,284.110
1998-09,289.000
1998-10,296.000
1998-11,294.000
1998-12,292.000
1999-01,287.000
1999-02,287.000
1999-03,286.000
1999-04,283.000
1999-05,276.000
1999-06,261.000
1999-07,256.000
1999-08,257.000
1999-09,265.000
1999-10,311.000
1999-11,293.000
1999-12,283.000
2000-01,284.000
2000-02,300.000
2000-03,286.000
2000-04,280.000
2000-05,275.000
2000-06,286.000
2000-07,282.000
2000-08,274.470
2000-09,274.000
2000-10,270.000
2000-11,266.000
2000-12,271.450
2001-01,265.490
2001-02,262.000
2001-03,263.000
2001-04,260.480
2001-05,272.000
2001-06,270.000
2001-07,268.000
2001-08,272.000
2001-09,283.000
2001-10,283.000
2001-11,276.000
2001-12,276.000
2002-01,282.000
2002-02,296.000
2002-03,294.000
2002-04,303.000
2002-05,314.000
2002-06,321.000
2002-07,313.290
2002-08,310.260
2002-09,319.140
2002-10,316.560
2002-11,319.000
2002-12,332.000
2003-01,356.860
2003-02,359.000
2003-03,341.000
2003-04,328.000
2003-05,356.000
2003-06,356.000
2003-07,351.000
2003-08,360.000
2003-09,378.950
2003-10,379.000
2003-11,390.000
2003-12,406.953
2004-01,414.000
2004-02,404.878
2004-03,406.670
2004-04,403.000
2004-05,383.780
2004-06,392.370
2004-07,398.000
2004-08,401.000
2004-09,405.000
2004-10,420.460
2004-11,439.375
2004-12,442.000
2005-01,424.000
2005-02,423.000
2005-03,434.000
2005-04,429.230
2005-05,421.870
2005-06,431.000
2005-07,424.480
2005-08,438.000
2005-09,456.050
2005-10,470.000
2005-11,477.000
2005-12,510.000
2006-01,550.000
2006-02,555.000
2006-03,557.000
2006-04,611.000
2006-05,675.000
2006-06,596.000
2006-07,633.710
2006-08,633.000
2006-09,598.000
2006-10,585.780
2006-11,627.827
2006-12,629.791
2007-01,631.170
2007-02,664.750
2007-03,654.895
2007-04,679.368
2007-05,667.310
2007-06,655.660
2007-07,665.380
2007-08,665.410
2007-09,712.650
2007-10,754.600
2007-11,806.248
2007-12,803.000
2008-01,890.000
2008-02,922.000
2008-03,968.000
2008-04,910.000
2008-05,889.000
2008-06,889.000
2008-07,939.770
2008-08,839.000
2008-09,830.000
2008-10,807.000
2008-11,761.000
2008-12,816.000
2009-01,858.690
2009-02,943.000
2009-03,924.270
2009-04,890.200
2009-05,928.645
2009-06,946.000
2009-07,934.000
2009-08,949.380
2009-09,996.590
2009-10,1043.000
2009-11,1127.000
2009-12,1135.000
2010-01,1117.963
2010-02,1095.000
2010-03,1113.000
2010-04,1149.000
2010-05,1205.000
2010-06,1233.000
2010-07,1193.000
2010-08,1216.000
2010-09,1271.000
2010-10,1342.020
2010-11,1369.890
2010-12,1391.000
2011-01,1360.000
2011-02,1375.000
2011-03,1423.000
2011-04,1481.000
2011-05,1513.000
2011-06,1529.000
2011-07,1573.000
2011-08,1759.000
2011-09,1772.000
2011-10,1666.430
2011-11,1739.000
2011-12,1640.000
2012-01,1654.000
2012-02,1745.000
2012-03,1676.000
2012-04,1649.000
2012-05,1589.000
2012-06,1599.000
2012-07,1594.000
2012-08,1630.000
2012-09,1745.000
2012-10,1746.580
2012-11,1722.000
2012-12,1685.000
2013-01,1672.000
2013-02,1628.000
2013-03,1593.000
2013-04,1487.860
2013-05,1414.000
2013-06,1343.000
2013-07,1286.000
2013-08,1352.000
2013-09,1349.000
2013-10,1317.000
2013-11,1276.000
2013-12,1222.000
2014-01,1244.000
2014-02,1300.000
2014-03,1336.000
2014-04,1298.450
2014-05,1289.000
2014-06,1279.000
2014-07,1311.000
2014-08,1295.130
2014-09,1236.550
2014-10,1222.490
2014-11,1175.000
2014-12,1201.000
2015-01,1251.000
2015-02,1227.000
2015-03,1179.000
2015-04,1199.000
2015-05,1199.000
2015-06,1182.000
2015-07,1128.000
2015-08,1118.000
2015-09,1125.000
2015-10,1159.250
2015-11,1086.440
2015-12,1076.000
2016-01,1098.000
2016-02,1200.000
2016-03,1245.000
2016-04,1242.000
2016-05,1260.950
2016-06,1276.000
2016-07,1336.660
2016-08,1340.000
2016-09,1327.000
2016-10,1266.550
2016-11,1238.350
2016-12,1157.000
2017-01,1192.000
2017-02,1234.000
2017-03,1231.000
2017-04,1266.880
2017-05,1246.040
2017-06,1260.000
2017-07,1237.000
2017-08,1283.000
2017-09,1314.070
2017-10,1280.000
2017-11,1281.900
2017-12,1264.000
2018-01,1331.000
2018-02,1331.000
2018-03,1325.000
2018-04,1335.000
2018-05,1303.000
2018-06,1282.000
2018-07,1238.000
2018-08,1202.000
2018-09,1198.000
2018-10,1215.000
2018-11,1220.650
2018-12,1250.400
2019-01,1291.750
2019-02,1320.070
2019-03,1301.000
2019-04,1286.000
2019-05,1284.000
2019-06,1359.000
2019-07,1413.000
2019-08,1500.000
2019-09,1511.000
2019-10,1495.000
2019-11,1471.000
2019-12,1479.000
2020-01,1561.000
2020-02,1597.000
2020-03,1592.000
2020-04,1683.000
2020-05,1716.000
2020-06,1732.000
2020-07,1846.510
2020-08,1969.000
2020-09,1922.000
2020-10,1900.000
2020-11,1866.000
2020-12,1858.000
2021-01,1867.000
2021-02,1808.000
2021-03,1718.000
2021-04,1760.000
2021-05,1850.000
2021-06,1835.000
2021-07,1808.000
2021-08,1785.000
2021-09,1775.140
2021-10,1777.000
2021-11,1822.000
2021-12,1790.000
2022-01,1816.020
2022-02,1856.000
2022-03,1947.830
2022-04,1937.000
2022-05,1849.000
2022-06,1837.000
2022-07,1733.000
2022-08,1765.000
2022-09,1680.780
2022-10,1664.000
2022-11,1725.000
2022-12,1798.000
2023-01,1897.710
2023-02,1855.000
2023-03,1913.000
2023-04,2000.000
2023-05,1992.000
2023-06,1943.000
2023-07,1951.000
2023-08,1919.000
2023-09,1916.000
2023-10,1916.000
2023-11,1984.000
2023-12,2026.000
2024-01,2034.040
2024-02,2023.000
2024-03,2158.000
2024-04,2331.450
2024-05,2351.000
2024-06,2326.000
2024-07,2398.000
2024-08,2470.000
2024-09,2571.000
2024-10,2690.000
2024-11,2651.000
2024-12,2648.000
2025-01,2710.000
2025-02,2894.730
2025-03,2983.000
2025-04,3218.000
2025-05,3309.000
2025-06,3353.000
2025-07,3340.000
2025-08,3368.030
2025-09,3667.680
2025-10,4058.330
2025-11,4087.000
2025-12,4309.000
2026-01,4753.000
2026-02,5020.000
2026-03,4856.000
2026-04,4721.000
2026-05,4587.000
2026-06,4228.000
